id,date,status,homeTeam,awayTeam,goalsHomeTeam,goalsAwayTeam,oddsHomeWin,oddsAwayWin,oddsDraw,probHomeWin,probAwayWin,probDraw,bettingOverRound,UnitedWin,UnitedGoals,ReturnOn100QuidBet
150835,2016-08-14T12:30:00Z,FINISHED,AFC Bournemouth,Manchester United FC,1,3,5.5,1.72,3.3,18.18,58.14,30.3,6.61999999999999,True,3,550.0
150827,2016-08-19T19:00:00Z,FINISHED,Manchester United FC,Southampton FC,2,0,1.44,8.0,4.2,69.44,12.5,23.81,5.75,True,2,144.0
150818,2016-08-27T16:30:00Z,FINISHED,Hull City FC,Manchester United FC,0,1,7.5,1.5,4.0,13.33,66.67,25.0,5.0,True,1,750.0
150809,2016-09-10T11:30:00Z,FINISHED,Manchester United FC,Manchester City FC,1,2,2.3,3.4,3.25,43.48,29.41,30.77,3.6599999999999966,False,1,-100
150803,2016-09-18T11:00:00Z,FINISHED,Watford FC,Manchester United FC,3,1,6.5,1.5,4.0,15.38,66.67,25.0,7.049999999999997,False,1,-100
150789,2016-09-24T11:30:00Z,FINISHED,Manchester United FC,Leicester City FC,4,1,1.7,5.0,3.7,58.82,20.0,27.03,5.849999999999994,True,4,170.0
150779,2016-10-02T11:00:00Z,FINISHED,Manchester United FC,Stoke City FC,1,1,1.3,12.0,5.0,76.92,8.33,20.0,5.25,False,1,-100
150769,2016-10-17T19:00:00Z,FINISHED,Liverpool FC,Manchester United FC,0,0,2.15,3.3,3.5,46.51,30.3,28.57,5.3799999999999955,False,0,-100
150758,2016-10-23T15:00:00Z,FINISHED,Chelsea FC,Manchester United FC,4,0,2.15,3.3,3.4,46.51,30.3,29.41,6.219999999999999,False,0,-100
150747,2016-10-29T14:00:00Z,FINISHED,Manchester United FC,Burnley FC,0,0,0,0,0,0,0,0,-100,False,0,-100
150743,2016-11-06T15:00:00Z,FINISHED,Swansea City FC,Manchester United FC,1,3,5.5,1.61,3.8,18.18,62.11,26.32,6.609999999999985,True,3,550.0
150727,2016-11-19T12:30:00Z,FINISHED,Manchester United FC,Arsenal FC,1,1,0,0,0,0,0,0,-100,False,1,-100
150721,2016-11-27T16:30:00Z,FINISHED,Manchester United FC,West Ham United FC,1,1,1.5,8.0,4.4,66.67,12.5,22.73,1.9000000000000057,False,1,-100

